# Time (s)	LoadVolt (V)	Load (kg)
0.006	0.076	3.790
0.209	0.078	3.870
0.410	0.078	3.863
0.611	0.077	3.830
0.812	0.077	3.824
1.013	0.077	3.829
1.214	0.077	3.808
1.415	0.077	3.806
1.617	0.077	3.843
1.818	0.077	3.802
2.019	0.077	3.810
2.220	0.077	3.823
2.421	0.076	3.795
2.622	0.077	3.821
2.823	0.077	3.811
3.025	0.077	3.837
3.226	0.077	3.840
3.427	0.078	3.852
3.628	0.078	3.863
3.829	0.078	3.863
4.030	0.078	3.862
4.231	0.078	3.869
4.433	0.078	3.855
4.634	0.078	3.864
4.835	0.077	3.849
5.036	0.078	3.851
5.237	0.078	3.863
5.438	0.078	3.870
5.639	0.078	3.874
5.841	0.078	3.869
6.042	0.078	3.868
6.243	0.078	3.857
6.444	0.078	3.858
6.645	0.077	3.841
6.846	0.078	3.879
7.047	0.077	3.845
7.249	0.078	3.855
