time(s) 	 x 	 y 	 x 	 y 	 x 	 y 
0.0	547.0	164.0	546.0	326.0	541.0	485.0
0.2	547.0	164.0	546.0	326.0	541.0	485.0
0.4	547.0	164.0	546.0	326.0	541.0	486.0
0.6	547.0	165.0	546.0	327.0	541.0	486.0
0.8	548.0	166.0	547.0	328.0	542.0	487.0
1.0	549.0	167.0	547.0	329.0	542.0	488.0
1.2	549.0	167.0	548.0	329.0	543.0	488.0
1.4	550.0	166.0	548.0	329.0	543.0	488.0
1.6	550.0	167.0	548.0	329.0	543.0	489.0
1.8	550.0	167.0	549.0	329.0	543.0	489.0
2.0	550.0	168.0	549.0	330.0	544.0	489.0
2.2	550.0	168.0	549.0	330.0	544.0	490.0
2.4	550.0	168.0	549.0	330.0	544.0	490.0
2.6	550.0	168.0	549.0	331.0	544.0	490.0
2.8	550.0	168.0	550.0	331.0	544.0	491.0
3.0	550.0	169.0	550.0	331.0	544.0	491.0
3.2	551.0	169.0	550.0	332.0	545.0	491.0
3.4	551.0	169.0	550.0	332.0	545.0	492.0
3.6	551.0	169.0	550.0	332.0	545.0	492.0
3.8	551.0	170.0	550.0	333.0	545.0	493.0
4.0	551.0	170.0	550.0	333.0	545.0	493.0
4.2	551.0	170.0	550.0	333.0	545.0	493.0
4.4	551.0	170.0	550.0	333.0	545.0	493.0
4.6	551.0	170.0	550.0	333.0	545.0	494.0
4.8	551.0	170.0	550.0	334.0	545.0	494.0
5.0	551.0	171.0	550.0	334.0	545.0	494.0
5.2	551.0	171.0	550.0	334.0	545.0	495.0
5.4	551.0	171.0	550.0	334.0	545.0	495.0
5.6	551.0	171.0	550.0	334.0	545.0	495.0
5.8	551.0	171.0	550.0	335.0	545.0	496.0
6.0	551.0	171.0	550.0	335.0	545.0	496.0
6.2	551.0	171.0	550.0	335.0	545.0	496.0
6.4	551.0	172.0	550.0	335.0	545.0	496.0
6.6	551.0	172.0	550.0	336.0	545.0	496.0
6.8	551.0	172.0	550.0	336.0	545.0	497.0
7.0	551.0	172.0	550.0	336.0	545.0	497.0
7.2	551.0	172.0	550.0	336.0	545.0	497.0
7.4	551.0	172.0	550.0	336.0	545.0	498.0
7.6	551.0	172.0	550.0	337.0	545.0	498.0
7.8	551.0	173.0	550.0	337.0	545.0	498.0
8.0	551.0	173.0	550.0	337.0	545.0	498.0
8.2	551.0	173.0	550.0	337.0	545.0	499.0
8.4	551.0	173.0	550.0	337.0	545.0	499.0
8.6	551.0	173.0	550.0	338.0	545.0	499.0
8.8	551.0	173.0	550.0	338.0	545.0	499.0
9.0	551.0	173.0	550.0	338.0	545.0	499.0
9.2	551.0	173.0	550.0	338.0	545.0	500.0
9.4	551.0	173.0	550.0	338.0	545.0	500.0
9.6	551.0	174.0	550.0	338.0	545.0	500.0
9.8	551.0	174.0	550.0	338.0	545.0	500.0
10.0	551.0	174.0	550.0	339.0	545.0	501.0
10.2	551.0	174.0	550.0	339.0	545.0	501.0
10.4	551.0	174.0	550.0	339.0	545.0	501.0
10.6	551.0	174.0	550.0	340.0	545.0	502.0
10.8	551.0	174.0	550.0	340.0	545.0	502.0
